title,review,rating
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"One off the best cars I've owned, the speed and control is better then my past sports cars, with better gas mileage too. Wow what a car!",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"My wife and I looked around for a new car and came down to the Chrysler A300, Dodge Charger, and the Dodge Magnum. When we saw the all-black Magnum we just loved the styling and found the rear cargo space desirable since we often need to take her parents to doctor's appointments and the wheelchair fits easily.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I looked at many vehicles over 6 months before deciding on the Magnum. I have had it now for a 1 1/2 years and am very pleased. I have 4 kids and can fit them all in and still have space in the back. The car drives very well and has great brakes although I would recommend ABS. I got the 2.7L v6 for the gas mileage. It does not have alot of power but I do get 20 mpg in the city. I have not taken it on any long trips so I don't know the highway mpg. For around town the car is perfect, it looks great, handles well, gets good mpg, is very comfortable (I am 6'3) and can take 5 adults plus stuff in the back. We had a Dodge Polaris wagon growing up, there is no comparison!",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"The car is a car, a truck, a wagon, a SUV. But inside the heart and soul is a sports car trapped in a wagon's body!",2.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),My SXT AWD is the most fun auto I've ever owned. It has head-turning style and a performance package that allows the car to be a king on the road.,3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"I sell Dodge/Chrysler/Jeep products, and have been looking closely at the 300, Charger and Magnum for some time. Comparing all things equally, my Magnum fits my kids and their stuff (hockey, lacrosse, football and all other equipment), and my golf clubs and my hubby's. It has the hot looks of a sexy sportscar, but has the capability of a family sedan. I feel great driving this amazing vehicle, and working as a Sales and Leasing Consultant, I get to drive dozens and dozens of vehicles and models all the time! I love my leather interior, sunroof, autostick and Boston Acoustics stereo for when I want to crank it up!",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"All in all I will have to say this is my all time favorite car! Love the power! No more waiting to get out in traffic. Plenty of cargo space and seats are very comfy. The only downside is that it is so peppy that we can't seem to keep our foot off of the gas! We were sold from the test drive on this car. If you're going to get one, get the Hemi! It is well worth it!",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"The Mercedes Benz based 4-matic is amazing. I will never drive another car without it. Wet weather traction like i have never seen before. All this on top of 340HP! Styling speaks for itself. Love it or hate it. Interior is huge. Turning radius is great for such a huge car. Speed, well there are cars that are faster but I dare them to do it in such a good looking car or loaded up with 5 people and groceries and still have power. Eat that import lovers. My only minor want is at $34k why could I not get the auto turning mirrors when the car is off like its German cousin. All together, I don't think you could get all the things this car offers from anyone else at the price its offered.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"16 months and over 55,000 miles, what you have is the very good, and the very bad. First the good, power, space for my big frame 6'3"", 280lbs, and lots of boxes. Nice, but not overwhelming interior, nav, heated seats, adjustable pedals, all the good stuff. Now the bad, horrible dealer service, makes me want to go back to Toyotas, and Hondas. Priced the 60,000 service one dealer wanted $850.00, another wanted $470.00. I've had a thumping noise in the right front since 21,000 miles, been to the dealer 4 times they can't find it.Serveral rattles, in the dash, and hatch. I will not buy another Dodge simply because of the dealer service.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I first saw the SRT-8 at the International car show when it was just a concept. At the time, I told my wife that if they build it I want it. I first test drove it July of 2006 and fell in love. I have been a GM person my whole life, but things were about to change. I have owned 24 cars from classic Impalas, Corvettes, Camaros and list goes on. I actually traded a 1996 Impala SS for the SRT-8. There is nothing bad at all to say about this car. Styling, comfort, and oh yeah, performance like you never had. I can carry my family of five around, or pick up a TV and still lay rubber like I was in a sports car. Cold air induction and a catback exhaust is now on order. Can never have too much power.",3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"Black metallic with blacked out windows looks cool. Nice bark from the 3.5L V-6 (don't bother with the 2.7 rental car engine, get the 3.5 or the V8 Hemi). Excellent highway handling. Great seating even in mid grade SXT. Quiet. Solid feeling construction. Cool interior.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"This is a company car for us. The 2.7 liter engine provides merely adequate performance from a stop and at speed, and I'd recommend one of the larger engines. The legroom is excellent for front and back passengers. The headroom is very good. The telescoping steering wheel is extremely helpful and complements the power driver's seat to find an ideal driving position relative to the fixed position pedals. The ride is excellent. Cornering feels solid and not as though it's a 4000 pound vehicle. Rear cargo space is limited, unless folding the rear seats. We've needed to use the optional roof rack during trips. Coupled with a bigger engine, this is a very fun, comfortable car.",3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"I have only had it 4 weeks, and I love the car. I have been approached twice asking about the car. I bought the car used, saved myself $4K. I will not miss my Surburban. My 8 yr old will only go with Dad, forget about the minivan.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),I am a lifelong Dodge fan. From the Dodge Dspen to Dakota now to the Magnum I am very impressed witht the structure of the whole car. I believe they spent time on this and made it right. Spacious in design with a whole lot of sport.,3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"Wow. I am a '60's child. What an increase in quality, driveability, utility, and performance. Commute 70 miles one way to work. I am much fresher upon arrival than I was driving an "" all wheel drive import"". Exceptionaly quiet, solid. I have had the vehicle four months and have put 18k miles on the clock.",3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"I have just purchased this car recently and took a trip of about 1000kl/600mi. loved the way the car handled and comfort was very good. Fuel mileage was above my expectation as I averaged 39.84 mpg hwy and 34.32 city, very excited about that. 3.5 engine has lots of power and is all that is needed in this wonderful wagon",4.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"While I have only put 1500 miles on this Hemi-powered rocket, I was impressed from the first moment of a test drive. I was attracted to it by the syling and Hemi power. I read a lot of reviews on the Magnum and researched every bit of material that I could find. When I finally decided to buy it, I never regretted my decision. This car handles like a sports car with the Mercedes suspension. The car is bearly broken in so the only issue I have is with the city mileage. The first tank was all local driving (NYC) and I got 12 mpg. I have to be careful getting on the highway because you are up to 85 mph before you know it. Great stereo and plenty of room. People are impressed with this one.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"We have taken the car on two long road trips already. I was worried about the small V6 in such a large car but the pep was sufficient for excellent highway driving. The car is smooth and the steering is sharp for such a large car. Although the small windows in the rear reduce visibility, the side mirrors are the first adequate mirrors I've ever seen on a car making the car much more navigatable through city streets. Fuel economy is actually exceeding the mid-size sedan we traded in. The transmission is uncharacteristically smooth from my previous experiences with Dodge. Only one minor warrenty issue so far (switch knob).",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I have had my silver Magnum SE for almost 20 thousand miles and have not had a single issue. I have never taken it back to the dealer for anything other than oil changes. I have not encountered any of the problems that other people have posted on here. It is super quiet and very solid. Everything has worked perfectly! I love the styling. I get a ton of envious looks from both men and women, even with two carseats in the back. It is the coolest ""Dad"" car on the road in my opinion. It is very easy to load and unload kids and all their ""equipment."" I feel very cocky on the road in this car and I don't even own the Hemi. I live in El Paso and I have only seen a handful of others.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"I am a field engineer. I drive in total comfort, economy and awesome power when I need it. 43,000 miles on it without a hitch.",4.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I've had it one year. I have put 36,000 mostly highway miles on it. Highway mileage ranges from 26 to 28 miles per mpg. I love the styling and the interior roominess. After owning it a year we still get compliments on it. It's a red beauty.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),This car has been so much fun to drive I don't want to get out of it. It handles well and is very comfortable. This Hemi has tons of power and then some. But it is also nice to cruise. The 4 disc braking is really great! I love it!,4.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"We absolutly love our new Magnum! The ride, performance, interior, sound system are all very good. Ours came with 20in. wheels, and it rides better than I expected. It is also the quietest (interior wise) car I have ever driven. I have no regrets in buying this car, I may go back & purchase a 300 or a Charger. I may even wait for the Challenger!",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I had a 2004 Ford F-150 5.4L V8. I traded it in for the 2006 Magnum, and the two things that I was worried about was leg room and fuel economy. My truck was great with interior space, but with gas hitting $3.00 per gallon, and me having to drive over 100 round trip to work, I needed something better for fuel. I was a little put off on the Magnum, but the leg room sold me. There is almost as much leg room as my truck, and even though I get the same mileage on fuel, it cost me 1/2 has much to fill up.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),My family and I took the 1st road trip to Vegas. It was a smooth and fun drive going across the desert. Car stayed cool woth the AC on the whole way. Love every minute that I am behind the wheel of my Magnum!,3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"We bought our new Magnum three weeks ago and I have been in love with it ever since. The weekend after we bought it, we drove it to Nashville and averaged 27 MPG. The power out of our 3.5L is amazing. It is nothing to bark the tires at a light or around a corner. Now that I got rid of my old beater, my daughter always wants to ride in Daddy's car.",3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"My ""Maggie"" is the best vehicle I have ever owned or driven! It's so comfortable to drive and ride in and the Boston Acoustics are wonderful! The 6x CD player is a blast to load and listen to all my favorite music back to back. I zoom my sunroof back and turn up my tunes and enjoy the ride!",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I went to the dealership to buy an SUV and drove off in a Magnum! It was love at first sight and I'm a big guy so room was very important- definitely no complaints here. I have definitely upgraded from my minivan and no longer feel like I've given up on life! :) I definitely do not need a Hemi, but am a bit disappointed with the 2.7. It has enough ""umph"" to get the job done, but with nowhere near the performance of the 3.5 or Hemi.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"Have had the vehicle for only a few weeks. Had to sell '05 Mustang and go practical. The Magnum gave me practicality and fun! Really nice car, drives very well, nice and tight. Love the low cut look, very aggressive. My wife really likes it too. Can actually be cool in a wagon.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"Overall fit and finish is more than excellent for a car in this price range. Take a tour of the outside and see the detail given to the body seams, their almost perfect all around the car. sit inside and notice that this is a driver's car. It's easy to get in a good driving position and all controls are extremely easy to use. The only downside is the comfort level of the seats over a long trip. This needs to be looked at by Dodge.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"Excellent vehicle, 5.7 Hemi (need I say more?) MPG has been up to 29.5 highway with the engine management system of shutting down cylinders at cruise. Fun to drive factor is off the scale. Self sealing tires (18in) have been a life saver. It will even pull my 3500lb. motorcycle trailer smoothly with its hidden hitch and and self leveling suspension system. It sure is more pc than an SUV.",3.0
